date,symbol,type,shares,price,value,pnl,pnl_pct
2024-04-13,DOT/USD,SELL,200,6.417977809906006,1283.5955619812012,-164.62221145629883,-0.11367227669465095
2024-04-13,MATIC/USD,SELL,1889,0.6551060080528259,1237.4952492117882,-210.71981400251389,-0.14550312267490362
2024-04-13,LINK/USD,SELL,95,13.3458251953125,1267.8533935546875,-172.07117080688477,-0.11950012873290829
2024-04-13,SOL/USD,BUY,2,139.34169006347656,278.6833801269531,,
2024-04-13,XRP/USD,BUY,765,0.4808189868927002,367.82652497291565,,
2024-04-13,ADA/USD,BUY,821,0.4479080140590668,367.7324795424938,,
2024-04-13,AVAX/USD,BUY,10,34.07841110229492,340.7841110229492,,
2024-04-13,DOT/USD,BUY,57,6.417977809906006,365.82473516464233,,
2024-04-17,SOL/USD,SELL,2,131.86618041992188,263.73236083984375,-14.951019287109375,-0.05364876542081016
2024-04-20,XRP/USD,SELL,765,0.5292930006980896,404.90914553403854,37.082620561122894,0.10081551504164475
2024-04-20,ADA/USD,SELL,821,0.5059080123901367,415.35047817230225,47.617998629808426,0.12949086980038124
2024-04-20,AVAX/USD,SELL,10,38.301055908203125,383.01055908203125,42.22644805908203,0.12390967387631051
2024-04-20,DOT/USD,SELL,57,7.234262943267822,412.35298776626587,46.528252601623535,0.12718727885002945
2024-06-08,DOT/USD,BUY,209,6.388423919677734,1335.1805992126465,,
2024-06-11,XRP/USD,BUY,2367,0.480320006608963,1136.9174556434155,,
2024-06-11,MATIC/USD,BUY,1841,0.6175389885902405,1136.8892779946327,,
2024-06-17,MATIC/USD,SELL,1841,0.5842499732971191,1075.6042008399963,-61.28507715463638,-0.0539059329178806
2024-06-17,ADA/USD,BUY,1981,0.40175798535346985,795.8825689852238,,
2024-06-18,DOT/USD,SELL,209,5.775650978088379,1207.1110544204712,-128.0695447921753,-0.09591926730188985
2024-06-18,AVAX/USD,BUY,31,26.618864059448242,825.1847858428955,,
2024-06-18,DOT/USD,BUY,145,5.775650978088379,837.4693918228149,,
2024-06-18,MATIC/USD,BUY,1504,0.5571900010108948,838.0137615203857,,
2024-06-21,ADA/USD,SELL,1981,0.37605199217796326,744.9589965045452,-50.92357248067856,-0.06398377658353263
2024-06-21,SOL/USD,BUY,4,134.5883026123047,538.3532104492188,,
2024-06-23,AVAX/USD,SELL,31,25.05120277404785,776.5872859954834,-48.59749984741211,-0.058892869428962595
2024-06-24,XRP/USD,SELL,2367,0.47414299845695496,1122.2964773476124,-14.62097829580307,-0.012860193344052953
2024-06-27,SOL/USD,SELL,4,149.44837951660156,597.7935180664062,59.4403076171875,0.11041135533971953
2024-07-02,DOT/USD,SELL,145,6.5148210525512695,944.6490526199341,107.17966079711914,0.12798039169387979
2024-07-04,MATIC/USD,SELL,1504,0.4948830008506775,744.304033279419,-93.7097282409668,-0.11182361500955756
2024-07-04,BNB/USD,BUY,2,513.9945068359375,1027.989013671875,,
2024-07-04,XRP/USD,BUY,2747,0.43357399106025696,1191.0277534425259,,
2024-07-04,MATIC/USD,BUY,2407,0.4948830008506775,1191.1833830475807,,
2024-07-04,LINK/USD,BUY,94,12.553675651550293,1180.0455112457275,,
2024-07-05,MATIC/USD,SELL,2407,0.46775299310684204,1125.8814544081688,-65.30192863941193,-0.054821054061667936
2024-07-05,ADA/USD,BUY,1755,0.3498849868774414,614.0481519699097,,
2024-07-05,MATIC/USD,BUY,1313,0.46775299310684204,614.1596799492836,,
2024-07-10,ADA/USD,SELL,1755,0.38883501291275024,682.4054476618767,68.35729569196701,0.11132237019633069
2024-07-13,XRP/USD,SELL,2747,0.526328980922699,1445.825710594654,254.79795715212822,0.21393116694020323
2024-07-13,MATIC/USD,SELL,1313,0.5314139723777771,697.7465457320213,83.58686578273773,0.13609956581591323
2024-07-15,BNB/USD,SELL,2,586.1410522460938,1172.2821044921875,144.2930908203125,0.1403644289007641
2024-07-15,LINK/USD,SELL,94,14.422126770019531,1355.679916381836,175.6344051361084,0.14883697574570498
2024-07-31,DOT/USD,BUY,260,5.3853302001953125,1400.1858520507812,,
2024-08-02,MATIC/USD,BUY,2547,0.4678640067577362,1191.6496252119541,,
2024-08-03,DOT/USD,SELL,260,5.043665885925293,1311.3531303405762,-88.83272171020508,-0.06344352185825639
2024-08-03,AVAX/USD,BUY,44,22.68356704711914,998.0769500732422,,
2024-08-03,LINK/USD,BUY,86,11.70133113861084,1006.3144779205322,,
2024-08-04,MATIC/USD,SELL,2547,0.42097601294517517,1072.2259049713612,-119.42372024059296,-0.10021714245019925
2024-08-04,AVAX/USD,SELL,44,21.22766876220703,934.0174255371094,-64.05952453613281,-0.0641829515564225
2024-08-04,LINK/USD,SELL,86,10.871526718139648,934.9512977600098,-71.36318016052246,-0.07091538651812773
2024-08-04,BNB/USD,BUY,1,497.0390930175781,497.0390930175781,,
2024-08-04,ADA/USD,BUY,2643,0.3439379930496216,909.0281156301498,,
2024-08-04,AVAX/USD,BUY,42,21.22766876220703,891.5620880126953,,
2024-08-04,DOT/USD,BUY,194,4.683842182159424,908.6653833389282,,
2024-08-04,MATIC/USD,BUY,2160,0.42097601294517517,909.3081879615784,,
2024-08-05,BNB/USD,SELL,1,464.6269226074219,464.6269226074219,-32.41217041015625,-0.06521050530126002
2024-08-05,ADA/USD,SELL,2643,0.31315499544143677,827.6686529517174,-81.35946267843246,-0.0895015910723873
2024-08-05,AVAX/USD,SELL,42,19.549341201782227,821.0723304748535,-70.4897575378418,-0.07906320657371656
2024-08-05,DOT/USD,SELL,194,4.208274841308594,816.4053192138672,-92.26006412506104,-0.10153359621343519
2024-08-05,MATIC/USD,SELL,2160,0.38508498668670654,831.7835712432861,-77.52461671829224,-0.08525670146232966
2024-08-05,BNB/USD,BUY,1,464.6269226074219,464.6269226074219,,
2024-08-05,SOL/USD,BUY,5,129.8643035888672,649.3215179443359,,
2024-08-05,ADA/USD,BUY,2341,0.31315499544143677,733.0958443284035,,
2024-08-05,AVAX/USD,BUY,37,19.549341201782227,723.3256244659424,,
2024-08-05,DOT/USD,BUY,174,4.208274841308594,732.2398223876953,,
2024-08-06,SOL/USD,SELL,5,144.09036254882812,720.4518127441406,71.13029479980469,0.10954556846505499
2024-08-06,XRP/USD,BUY,1585,0.5056970119476318,801.5297639369965,,
2024-08-07,XRP/USD,SELL,1585,0.6008099913597107,952.2838363051414,150.754072368145,0.18808293734179393
2024-08-07,LINK/USD,BUY,83,9.485442161560059,787.2916994094849,,
2024-08-08,BNB/USD,SELL,1,517.3375244140625,517.3375244140625,52.710601806640625,0.11344715349432623
2024-08-08,ADA/USD,SELL,2341,0.35181400179862976,823.5965782105923,90.5007338821888,0.12345007079544618
2024-08-08,AVAX/USD,SELL,37,22.737106323242188,841.2729339599609,117.94730949401855,0.16306253436148255
2024-08-08,DOT/USD,SELL,174,4.88088321685791,849.2736797332764,117.03385734558105,0.15982995429551458
2024-08-08,LINK/USD,SELL,83,10.736471176147461,891.1271076202393,103.8354082107544,0.1318893725014973
2024-08-18,DOT/USD,BUY,319,4.391077041625977,1400.7535762786865,,
2024-08-23,DOT/USD,SELL,319,4.898672103881836,1562.6764011383057,161.92282485961914,0.1155969383921129
2024-09-01,SOL/USD,BUY,11,128.6905517578125,1415.5960693359375,,
2024-09-07,MATIC/USD,BUY,3289,0.3693679869174957,1214.8513089716434,,
2024-09-19,SOL/USD,SELL,11,142.83627319335938,1571.1990051269531,155.60293579101562,0.10992043504614255
2024-09-21,MATIC/USD,SELL,3289,0.4088729918003082,1344.7832700312138,129.9319610595703,0.10695297449163231
2024-10-25,XRP/USD,BUY,2928,0.5019189715385437,1469.618748664856,,
2024-10-25,MATIC/USD,BUY,4572,0.3215329945087433,1470.0488508939743,,
2024-11-03,MATIC/USD,SELL,4572,0.3008190095424652,1375.344511628151,-94.70433926582336,-0.06442257970422631
2024-11-04,AVAX/USD,BUY,54,22.70597267150879,1226.1225242614746,,
2024-11-04,MATIC/USD,BUY,4237,0.2915799915790558,1235.4244243204594,,
2024-11-06,AVAX/USD,SELL,54,27.033344268798828,1459.8005905151367,233.6780662536621,0.1905829651032734
2024-11-06,MATIC/USD,SELL,4237,0.33390000462532043,1414.7343195974827,179.30989527702332,0.1451403191867864
2024-11-07,XRP/USD,SELL,2928,0.5547320246696472,1624.255368232727,154.6366195678711,0.10522226918264209
2024-11-10,ADA/USD,BUY,2610,0.5903090238571167,1540.7065522670746,,
2024-11-11,ADA/USD,SELL,2610,0.6138079762458801,1602.0388180017471,61.332265734672546,0.039807882717461746
2024-11-14,XRP/USD,BUY,2005,0.7730069756507874,1549.8789861798286,,
2024-11-15,XRP/USD,SELL,2005,0.8920909762382507,1788.6424073576927,238.76342117786407,0.15405294433107497
2024-12-20,AVAX/USD,BUY,39,39.81724548339844,1552.872573852539,,
2024-12-21,AVAX/USD,SELL,39,37.401676177978516,1458.665370941162,-94.20720291137695,-0.06066640914241742
2024-12-21,SOL/USD,BUY,7,181.30145263671875,1269.1101684570312,,
2025-01-02,SOL/USD,SELL,7,207.7670440673828,1454.3693084716797,185.25914001464844,0.1459756171049234
2025-01-28,DOT/USD,BUY,282,5.655594825744629,1594.8777408599854,,
2025-01-28,MATIC/USD,BUY,4103,0.38980698585510254,1599.3780629634857,,
2025-01-31,DOT/USD,SELL,282,6.318368911743164,1781.7800331115723,186.9022922515869,0.11718910325427578
2025-02-02,MATIC/USD,SELL,4103,0.332271009683609,1363.3079527318478,-236.07011023163795,-0.14760119305014346
2025-02-02,BNB/USD,BUY,2,617.6006469726562,1235.2012939453125,,
2025-02-02,ADA/USD,BUY,1731,0.8017399907112122,1387.8119239211082,,
2025-02-02,AVAX/USD,BUY,50,27.576316833496094,1378.8158416748047,,
2025-02-02,DOT/USD,BUY,269,5.148262023925781,1384.8824844360352,,
