symbol,order_type,quantity,price,timestamp,commission,pnl
AAPL,BUY,9,231.75186157226562,2025-02-04,0.0,0.0
AAPL,BUY,7,231.42333984375,2025-02-05,0.0,0.0
GOOGL,BUY,7,190.708251953125,2025-02-05,0.0,0.0
IONQ,BUY,27,42.31999969482422,2025-02-05,0.0,0.0
AAPL,BUY,4,232.16995239257812,2025-02-06,0.0,0.0
MSFT,BUY,1,413.5475769042969,2025-02-06,0.0,0.0
MSFT,BUY,1,407.5107727050781,2025-02-07,0.0,0.0
GOOGL,SELL,7,184.73770141601562,2025-02-07,0.0,-41.793853759765625
NVDA,BUY,6,129.8117218017578,2025-02-07,0.0,0.0
MSFT,BUY,1,409.96728515625,2025-02-10,0.0,0.0
AAPL,BUY,2,231.82725524902344,2025-02-11,0.0,0.0
MSFT,BUY,1,409.1915588378906,2025-02-11,0.0,0.0
MSFT,BUY,1,406.80462646484375,2025-02-12,0.0,0.0
MSFT,BUY,1,408.29644775390625,2025-02-13,0.0,0.0
AAPL,SELL,22,243.7664337158203,2025-02-14,0.0,264.79708862304705
MSFT,BUY,3,406.1979675292969,2025-02-14,0.0,0.0
MSFT,BUY,2,407.4013671875,2025-02-18,0.0,0.0
MSFT,BUY,2,412.5033264160156,2025-02-19,0.0,0.0
V,BUY,2,348.603759765625,2025-02-20,0.0,0.0
MSFT,BUY,1,406.793212890625,2025-02-21,0.0,0.0
V,BUY,1,346.6543273925781,2025-02-21,0.0,0.0
MSFT,BUY,1,402.59783935546875,2025-02-24,0.0,0.0
V,BUY,1,347.9771423339844,2025-02-24,0.0,0.0
NVDA,SELL,6,126.60242462158203,2025-02-25,0.0,-19.255783081054688
V,SELL,4,350.1951599121094,2025-02-25,0.0,8.941650390625
MSFT,SELL,15,391.16766357421875,2025-02-27,0.0,-255.59765624999983
IONQ,SELL,27,24.90999984741211,2025-02-27,0.0,-470.06999588012695
V,BUY,5,350.3344421386719,2025-03-04,0.0,0.0
MSFT,BUY,4,399.628173828125,2025-03-05,0.0,0.0
NVDA,BUY,12,110.5459213256836,2025-03-06,0.0,0.0
V,SELL,5,342.3078308105469,2025-03-06,0.0,-40.133056640625
AAPL,BUY,6,226.70477294921875,2025-03-10,0.0,0.0
MSFT,BUY,3,378.8406066894531,2025-03-10,0.0,0.0
AMZN,BUY,5,194.5399932861328,2025-03-10,0.0,0.0
AAPL,SELL,6,220.08740234375,2025-03-11,0.0,-39.7042236328125
MSFT,BUY,2,387.3509521484375,2025-03-17,0.0,0.0
TSLA,BUY,3,236.25999450683594,2025-03-20,0.0,0.0
MSFT,BUY,2,389.9020690917969,2025-03-21,0.0,0.0
AMZN,BUY,3,196.2100067138672,2025-03-21,0.0,0.0
V,BUY,1,333.8536071777344,2025-03-21,0.0,0.0
IONQ,BUY,20,22.260000228881836,2025-03-21,0.0,0.0
AAPL,BUY,1,219.977783203125,2025-03-24,0.0,0.0
AMZN,BUY,1,203.25999450683594,2025-03-24,0.0,0.0
IONQ,BUY,11,26.1200008392334,2025-03-24,0.0,0.0
AAPL,BUY,1,222.9875030517578,2025-03-25,0.0,0.0
IONQ,BUY,7,25.549999237060547,2025-03-25,0.0,0.0
NVDA,BUY,1,113.74568939208984,2025-03-26,0.0,0.0
IONQ,BUY,5,24.799999237060547,2025-03-26,0.0,0.0
IONQ,BUY,5,23.649999618530273,2025-03-27,0.0,0.0
IONQ,BUY,4,22.850000381469727,2025-03-28,0.0,0.0
NVDA,SELL,13,108.36636352539062,2025-03-31,0.0,-31.5340194702148
IONQ,BUY,15,22.06999969482422,2025-03-31,0.0,0.0
AAPL,BUY,1,222.42941284179688,2025-04-01,0.0,0.0
AMZN,SELL,9,192.1699981689453,2025-04-01,0.0,-35.059997558593864
AAPL,BUY,2,223.1270294189453,2025-04-02,0.0,0.0
AAPL,SELL,5,202.49754333496094,2025-04-03,0.0,-99.1610412597656
MSFT,SELL,11,371.8150329589844,2025-04-03,0.0,-199.5751953124999
GOOGL,BUY,10,145.29400634765625,2025-04-04,0.0,0.0
TSLA,BUY,4,239.42999267578125,2025-04-04,0.0,0.0
V,SELL,1,311.44482421875,2025-04-04,0.0,-22.408782958984375
GOOGL,BUY,7,146.44158935546875,2025-04-07,0.0,0.0
GOOGL,SELL,17,144.39588928222656,2025-04-08,0.0,-23.301071166992188
TSLA,SELL,7,221.86000061035156,2025-04-08,0.0,-113.4799499511719
MSFT,BUY,4,389.13470458984375,2025-04-09,0.0,0.0
NVDA,BUY,11,114.31561279296875,2025-04-09,0.0,0.0
META,BUY,1,584.9248657226562,2025-04-09,0.0,0.0
V,BUY,2,330.64093017578125,2025-04-09,0.0,0.0
AAPL,BUY,4,189.7710723876953,2025-04-10,0.0,0.0
MSFT,BUY,1,380.0264587402344,2025-04-10,0.0,0.0
GOOGL,BUY,4,152.4988250732422,2025-04-10,0.0,0.0
NVDA,BUY,4,107.55646514892578,2025-04-10,0.0,0.0
V,BUY,1,322.8630676269531,2025-04-10,0.0,0.0
AMZN,BUY,2,184.8699951171875,2025-04-11,0.0,0.0
AAPL,BUY,1,201.4511260986328,2025-04-15,0.0,0.0
META,SELL,1,501.58526611328125,2025-04-16,0.0,-83.339599609375
V,BUY,1,318.3773193359375,2025-04-21,0.0,0.0
AMZN,BUY,1,180.60000610351562,2025-04-23,0.0,0.0
GOOGL,BUY,1,158.94525146484375,2025-04-24,0.0,0.0
NVDA,BUY,2,106.4166030883789,2025-04-24,0.0,0.0
AMZN,BUY,1,188.99000549316406,2025-04-25,0.0,0.0
IONQ,BUY,5,28.09000015258789,2025-04-29,0.0,0.0
IONQ,BUY,5,27.459999084472656,2025-04-30,0.0,0.0
IONQ,BUY,4,27.3799991607666,2025-05-01,0.0,0.0
MSFT,SELL,5,433.769287109375,2025-05-02,0.0,232.28115844726574
IONQ,BUY,16,30.920000076293945,2025-05-02,0.0,0.0
IONQ,BUY,13,29.81999969482422,2025-05-05,0.0,0.0
IONQ,BUY,11,29.420000076293945,2025-05-06,0.0,0.0
AAPL,SELL,5,195.58120727539062,2025-05-07,0.0,17.370620727539006
IONQ,BUY,15,29.139999389648438,2025-05-07,0.0,0.0
IONQ,BUY,11,31.84000015258789,2025-05-08,0.0,0.0
GOOGL,SELL,5,152.42898559570312,2025-05-09,0.0,-6.795623779296847
TSLA,BUY,1,298.260009765625,2025-05-09,0.0,0.0
V,BUY,1,350.64276123046875,2025-05-09,0.0,0.0
IONQ,BUY,10,31.270000457763672,2025-05-09,0.0,0.0
AMZN,SELL,4,208.63999938964844,2025-05-12,0.0,95.22999572753906
NVDA,SELL,17,122.98452758789062,2025-05-12,0.0,190.20616149902338
TSLA,SELL,1,318.3800048828125,2025-05-12,0.0,20.1199951171875
V,BUY,2,353.9349060058594,2025-05-12,0.0,0.0
IONQ,BUY,23,32.88999938964844,2025-05-12,0.0,0.0
V,BUY,1,354.8116760253906,2025-05-13,0.0,0.0
IONQ,BUY,16,33.220001220703125,2025-05-13,0.0,0.0
V,BUY,1,355.13043212890625,2025-05-14,0.0,0.0
IONQ,BUY,11,33.40999984741211,2025-05-14,0.0,0.0
AMZN,BUY,1,205.1699981689453,2025-05-15,0.0,0.0
IONQ,BUY,8,32.540000915527344,2025-05-15,0.0,0.0
AMZN,BUY,1,205.58999633789062,2025-05-16,0.0,0.0
V,SELL,9,363.7581481933594,2025-05-16,0.0,202.84640502929682
IONQ,BUY,22,34.9900016784668,2025-05-16,0.0,0.0
AMZN,BUY,3,206.16000366210938,2025-05-19,0.0,0.0
TSLA,BUY,1,342.0899963378906,2025-05-19,0.0,0.0
IONQ,BUY,13,35.09000015258789,2025-05-19,0.0,0.0
AMZN,BUY,1,204.07000732421875,2025-05-20,0.0,0.0
TSLA,BUY,1,343.82000732421875,2025-05-20,0.0,0.0
IONQ,BUY,8,35.310001373291016,2025-05-20,0.0,0.0
AMZN,BUY,1,201.1199951171875,2025-05-21,0.0,0.0
NVDA,BUY,1,131.78341674804688,2025-05-21,0.0,0.0
