date,portfolio_value,cash,positions_value,total_return,num_positions,num_trades
2024-10-15,10921.072343826294,5207.815111160278,5713.257232666016,0.0921072343826294,3,50
2024-10-16,10954.64254951477,4352.963609695435,6601.678939819336,0.09546425495147705,4,51
2024-10-17,10925.911363601685,5216.3482837677,5709.563079833984,0.09259113636016846,3,52
2024-10-18,10947.113893508911,5216.3482837677,5730.765609741211,0.09471138935089111,3,52
2024-10-21,11000.993837356567,5564.017518997192,5436.976318359375,0.10009938373565674,3,54
2024-10-22,11030.5728931427,5564.017518997192,5466.555374145508,0.10305728931427002,3,54
2024-10-23,10948.083909988403,3317.740167617798,7630.3437423706055,0.09480839099884034,6,57
2024-10-24,10997.059400558472,3317.740167617798,7679.319232940674,0.09970594005584717,6,57
2024-10-25,11135.324625015259,5120.119897842407,6015.204727172852,0.11353246250152588,4,59
2024-10-28,11177.642984390259,8771.85570716858,2405.7872772216797,0.11776429843902587,3,60
2024-10-29,11212.833353042603,5217.811614990234,5995.021738052368,0.12128333530426025,4,64
2024-10-30,11231.81683921814,10000.306777954102,1231.510061264038,0.12318168392181396,1,67
2024-10-31,11097.496758460999,4123.9327392578125,6973.564019203186,0.10974967584609985,6,72
2024-11-01,11133.511407852173,5954.04833984375,5179.463068008423,0.11335114078521728,4,75
2024-11-04,11064.023831367493,7870.7837953567505,3193.240036010742,0.10640238313674927,2,77
2024-11-05,11103.643460273743,7870.7837953567505,3232.859664916992,0.11036434602737427,2,77
2024-11-06,11163.169354438782,7870.7837953567505,3292.3855590820312,0.11631693544387818,2,77
2024-11-07,11259.927502632141,9490.391308784485,1769.5361938476562,0.1259927502632141,1,78
2024-11-08,11252.869519233704,9490.391308784485,1762.4782104492188,0.12528695192337036,1,78
2024-11-11,11234.41743183136,9490.391308784485,1744.026123046875,0.12344174318313599,1,78
2024-11-12,11239.351758003235,7741.430859565735,3497.9208984375,0.12393517580032348,1,79
2024-11-13,11210.52290058136,7741.430859565735,3469.092041015625,0.12105229005813599,1,79
2024-11-14,11193.535840034485,7741.430859565735,3452.10498046875,0.11935358400344849,1,79
2024-11-15,11055.490429878235,9637.220425605774,1418.270004272461,0.10554904298782349,1,81
2024-11-18,11049.12040424347,7820.660458564758,3228.459945678711,0.10491204042434693,2,82
2024-11-19,11261.010418891907,9252.93046283722,2008.0799560546875,0.12610104188919066,1,83
2024-11-20,11330.850506782532,8453.177655220032,2877.6728515625,0.1330850506782532,2,86
2024-11-21,11335.363202095032,6914.6055727005005,4420.757629394531,0.13353632020950318,3,87
2024-11-22,11270.963391304016,5683.668438911438,5587.294952392578,0.1270963391304016,3,88
2024-11-25,11240.94852924347,6967.293606758118,4273.654922485352,0.12409485292434692,2,91
2024-11-26,11283.254467964172,6762.592114448547,4520.662353515625,0.12832544679641725,3,94
2024-11-27,11279.470959663391,8012.514477729797,3266.9564819335938,0.1279470959663391,2,95
2024-11-29,11308.996777534485,8012.514477729797,3296.4822998046875,0.1308996777534485,2,95
2024-12-02,11373.18696308136,8012.514477729797,3360.6724853515625,0.13731869630813598,2,95
2024-12-03,11462.310681343079,8353.613965034485,3108.6967163085938,0.14623106813430786,2,97
2024-12-04,11528.126324653625,9880.73399066925,1647.392333984375,0.15281263246536256,1,98
2024-12-05,11519.748761177063,9880.73399066925,1639.0147705078125,0.1519748761177063,1,98
2024-12-06,11521.912579536438,9880.73399066925,1641.1785888671875,0.1521912579536438,1,98
2024-12-09,11475.995099067688,8132.732739448547,3343.2623596191406,0.1475995099067688,2,99
2024-12-10,11565.735852241516,9978.415417671204,1587.3204345703125,0.1565735852241516,1,100
2024-12-11,11558.688366889954,9978.415417671204,1580.27294921875,0.15586883668899537,1,100
2024-12-12,11531.530896186829,9978.415417671204,1553.115478515625,0.15315308961868287,1,100
2024-12-13,11544.970715522766,9978.415417671204,1566.5552978515625,0.1544970715522766,1,100
2024-12-16,11524.880505561829,9978.415417671204,1546.465087890625,0.15248805055618286,1,100
2024-12-17,11524.126233100891,8225.350796699524,3298.775436401367,0.15241262331008912,2,101
2024-12-18,11433.537487983704,3264.7056703567505,8168.831817626953,0.14335374879837037,7,106
